Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,11/3/95,,CHH,W,105,91,43,86,0.5,4,11,0.364,15,23,0.652,15,42,29,10,3,13,27,,36,77,0.468,3,11,0.273,16,25,0.64,14,43,14,8,4,19,22
2,2,11/4/95,,BOS,W,107,85,43,88,0.489,4,11,0.364,17,25,0.68,12,45,30,12,7,17,31,,29,71,0.408,2,9,0.222,25,43,0.581,11,44,17,7,4,25,24
3,3,11/7/95,,TOR,W,117,108,44,80,0.55,7,14,0.5,22,29,0.759,8,32,28,13,3,14,26,,37,69,0.536,4,13,0.308,30,37,0.811,7,32,25,6,3,19,26
4,4,11/9/95,@,CLE,W,106,88,41,79,0.519,9,15,0.6,15,19,0.789,12,43,32,5,5,18,21,,34,82,0.415,1,11,0.091,19,23,0.826,9,34,27,9,1,9,18
5,5,11/11/95,,POR,W,110,106,40,81,0.494,6,21,0.286,24,30,0.8,11,34,24,6,4,9,25,,39,77,0.506,10,16,0.625,18,30,0.6,15,40,23,4,1,17,25
6,6,11/14/95,@,ORL,L,88,94,35,89,0.393,8,21,0.381,10,19,0.526,19,44,24,8,2,19,32,,30,65,0.462,9,20,0.45,25,34,0.735,7,38,13,9,8,24,23
7,7,11/15/95,,CLE,W,113,94,43,77,0.558,8,12,0.667,19,25,0.76,13,35,30,10,3,14,20,,35,70,0.5,10,18,0.556,14,21,0.667,11,33,22,9,2,21,25
8,8,11/17/95,,NJN,W,109,94,45,87,0.517,4,10,0.4,15,17,0.882,13,37,31,11,5,18,23,,34,76,0.447,1,7,0.143,25,32,0.781,11,35,20,10,5,20,22
9,9,11/21/95,@,DAL,W (1 OT),108,102,42,93,0.452,3,12,0.25,21,26,0.808,12,50,16,6,14,13,25,,37,108,0.343,6,20,0.3,22,31,0.71,32,66,22,8,5,15,25
10,10,11/22/95,@,SAS,W,103,94,41,92,0.446,1,8,0.125,20,28,0.714,17,51,23,8,1,12,34,,32,77,0.416,3,11,0.273,27,39,0.692,11,42,20,8,10,16,22
11,11,11/24/95,@,UTA,W,90,85,31,76,0.408,6,13,0.462,22,33,0.667,13,52,18,5,5,13,25,,32,82,0.39,5,12,0.417,16,27,0.593,14,45,23,5,7,12,28
12,12,11/26/95,@,SEA,L,92,97,32,74,0.432,3,18,0.167,25,43,0.581,15,44,25,11,3,12,32,,36,64,0.563,5,15,0.333,20,34,0.588,5,32,23,7,3,16,30
13,13,11/27/95,@,POR,W,107,104,45,82,0.549,3,10,0.3,14,18,0.778,4,26,28,12,1,11,24,,40,76,0.526,9,19,0.474,15,26,0.577,10,35,18,7,3,18,18
14,14,11/30/95,@,VAN,W,94,88,40,87,0.46,3,13,0.231,11,16,0.688,16,46,27,13,3,15,22,,31,67,0.463,5,11,0.455,21,28,0.75,4,29,19,7,6,19,21
15,15,12/2/95,@,LAC,W,104,98,39,83,0.47,2,12,0.167,24,29,0.828,14,46,19,14,3,18,23,,38,81,0.469,8,19,0.421,14,23,0.609,13,38,22,14,6,21,25
16,16,12/6/95,,NYK,W,101,94,37,84,0.44,5,12,0.417,22,27,0.815,16,48,28,8,2,9,22,,36,73,0.493,5,15,0.333,17,27,0.63,8,39,17,8,6,15,25
17,17,12/8/95,,SAS,W,106,87,42,80,0.525,7,14,0.5,15,19,0.789,12,46,23,7,3,11,25,,32,74,0.432,2,15,0.133,21,27,0.778,10,33,14,5,3,11,20
18,18,12/9/95,@,MIL,W,118,106,47,81,0.58,6,10,0.6,18,26,0.692,15,40,22,7,2,7,26,,37,69,0.536,5,11,0.455,27,37,0.73,11,31,19,5,2,13,26
19,19,12/13/95,,ORL,W,112,103,44,86,0.512,8,21,0.381,16,22,0.727,18,49,22,6,5,15,19,,36,81,0.444,9,24,0.375,22,27,0.815,11,35,20,8,5,12,24
20,20,12/14/95,@,ATL,W,127,108,50,84,0.595,9,17,0.529,18,24,0.75,13,39,29,6,7,14,21,,44,94,0.468,7,23,0.304,13,18,0.722,18,39,22,10,4,15,24
21,21,12/16/95,,LAL,W,108,88,39,90,0.433,6,14,0.429,24,32,0.75,22,57,24,11,7,14,18,,35,82,0.427,3,14,0.214,15,22,0.682,11,36,15,9,8,18,29
22,22,12/18/95,@,BOS,W,123,114,48,84,0.571,4,12,0.333,23,33,0.697,10,41,28,10,6,16,29,,38,78,0.487,10,22,0.455,28,40,0.7,11,35,23,13,2,18,30
23,23,12/19/95,,DAL,W,114,101,42,82,0.512,2,6,0.333,28,31,0.903,15,46,26,9,3,17,16,,41,90,0.456,9,16,0.563,10,11,0.909,15,39,23,7,2,16,25
24,24,12/22/95,,TOR,W,113,104,43,88,0.489,11,19,0.579,16,17,0.941,14,42,25,7,6,11,15,,41,84,0.488,6,17,0.353,16,20,0.8,14,39,23,6,2,15,21
25,25,12/23/95,,UTA,W,100,86,42,81,0.519,7,14,0.5,9,14,0.643,13,41,22,13,6,11,22,,31,78,0.397,3,11,0.273,21,25,0.84,18,45,20,6,6,18,17
26,26,12/26/95,@,IND,L,97,103,38,87,0.437,6,13,0.462,15,24,0.625,17,47,19,6,4,14,25,,38,77,0.494,10,21,0.476,17,26,0.654,9,37,30,5,3,13,27
27,27,12/29/95,,IND,W,120,93,42,87,0.483,9,17,0.529,27,35,0.771,16,46,24,9,6,13,23,,34,78,0.436,6,14,0.429,19,24,0.792,10,31,22,7,4,18,30
28,28,12/30/95,,ATL,W,95,93,36,85,0.424,6,17,0.353,17,22,0.773,20,50,17,9,3,20,17,,39,95,0.411,4,14,0.286,11,15,0.733,21,49,14,11,2,15,18
29,29,1/3/96,,HOU,W,100,86,43,95,0.453,4,17,0.235,10,12,0.833,18,50,30,11,2,13,23,,30,73,0.411,2,18,0.111,24,32,0.75,13,44,10,7,2,19,16
30,30,1/4/96,@,CHH,W,117,93,49,91,0.538,4,10,0.4,15,17,0.882,14,40,29,6,3,11,19,,38,82,0.463,3,12,0.25,14,18,0.778,10,33,20,1,1,15,20
31,31,1/6/96,,MIL,W,113,84,45,85,0.529,4,12,0.333,19,25,0.76,20,51,27,9,3,19,26,,31,79,0.392,4,15,0.267,18,22,0.818,14,34,15,7,1,20,26
32,32,1/10/96,,SEA,W,113,87,44,74,0.595,9,15,0.6,16,23,0.696,11,48,27,7,5,23,19,,32,90,0.356,7,26,0.269,16,18,0.889,16,37,19,13,2,16,23
33,33,1/13/96,@,PHI,W,120,93,45,96,0.469,9,16,0.563,21,22,0.955,19,49,28,11,6,10,17,,36,79,0.456,6,20,0.3,15,17,0.882,8,36,21,6,9,20,19
34,34,1/15/96,@,WSB,W,116,109,41,88,0.466,7,18,0.389,27,30,0.9,16,46,26,10,2,14,24,,39,73,0.534,8,16,0.5,23,31,0.742,3,26,20,4,8,17,28
35,35,1/16/96,,PHI,W,116,104,50,94,0.532,7,21,0.333,9,17,0.529,23,52,33,9,2,13,17,,40,88,0.455,8,20,0.4,16,22,0.727,12,32,19,5,1,11,18
36,36,1/18/96,@,TOR,W,92,89,34,78,0.436,10,21,0.476,14,26,0.538,17,38,17,4,4,13,11,,38,77,0.494,5,16,0.313,8,10,0.8,11,39,18,9,6,17,23
37,37,1/21/96,@,DET,W,111,96,40,76,0.526,14,22,0.636,17,21,0.81,14,37,24,4,4,14,20,,39,82,0.476,4,13,0.308,14,22,0.636,18,40,22,6,5,11,17
38,38,1/23/96,@,NYK,W,99,79,38,88,0.432,8,23,0.348,15,19,0.789,21,48,23,14,2,15,17,,32,68,0.471,4,15,0.267,11,15,0.733,4,33,21,8,2,23,21
39,39,1/24/96,,VAN,W,104,84,42,86,0.488,7,15,0.467,13,19,0.684,16,46,31,7,3,15,25,,30,76,0.395,4,12,0.333,20,29,0.69,11,39,17,7,4,17,18
40,40,1/26/96,,MIA,W,102,80,36,83,0.434,7,17,0.412,23,37,0.622,19,49,26,9,3,21,30,,27,69,0.391,3,11,0.273,23,34,0.676,13,41,16,9,3,26,36
41,41,1/28/96,,PHO,W,93,82,35,83,0.422,6,19,0.316,17,25,0.68,21,50,26,9,8,20,23,,32,79,0.405,1,9,0.111,17,20,0.85,13,36,20,8,2,15,25
42,42,1/30/96,@,HOU,W,98,87,32,79,0.405,12,27,0.444,22,28,0.786,21,51,14,11,0,21,20,,38,79,0.481,4,14,0.286,7,9,0.778,6,27,23,9,6,15,22
43,43,2/1/96,@,SAC,W,105,85,37,73,0.507,7,13,0.538,24,28,0.857,13,40,23,12,4,16,18,,33,78,0.423,8,17,0.471,11,14,0.786,18,37,14,7,6,23,21
44,44,2/2/96,@,LAL,W,99,84,45,82,0.549,6,15,0.4,3,9,0.333,15,43,29,8,6,14,19,,34,73,0.466,7,15,0.467,9,11,0.818,9,29,26,8,3,17,12
45,45,2/4/96,@,DEN,L,99,105,37,93,0.398,7,23,0.304,18,22,0.818,12,39,26,8,4,7,22,,41,78,0.526,5,15,0.333,18,23,0.783,5,42,25,3,8,15,20
46,46,2/6/96,@,PHO,L,96,106,37,84,0.44,1,12,0.083,21,32,0.656,12,34,28,13,4,10,28,,37,72,0.514,1,4,0.25,31,38,0.816,8,42,19,6,4,18,26
47,47,2/7/96,@,GSW,W,99,95,38,84,0.452,4,13,0.308,19,27,0.704,20,42,26,10,3,11,23,,35,76,0.461,5,14,0.357,20,27,0.741,23,48,28,8,3,16,22
48,48,2/13/96,,WSB,W,111,98,39,74,0.527,8,14,0.571,25,32,0.781,12,44,22,8,3,17,22,,38,75,0.507,4,9,0.444,18,23,0.783,6,31,21,9,2,17,25
49,49,2/15/96,@,DET,W (1 OT),112,109,39,98,0.398,9,20,0.45,25,33,0.758,20,47,19,11,4,10,27,,37,77,0.481,4,13,0.308,31,45,0.689,16,46,17,2,2,16,25
50,50,2/16/96,@,MIN,W,103,100,39,79,0.494,12,24,0.5,13,16,0.813,14,43,27,6,2,14,20,,40,78,0.513,12,17,0.706,8,11,0.727,10,30,19,5,4,14,18
51,51,2/18/96,@,IND,W,110,102,42,86,0.488,8,16,0.5,18,24,0.75,17,46,20,11,4,11,24,,35,70,0.5,6,12,0.5,26,37,0.703,8,34,20,4,1,15,25
52,52,2/20/96,,CLE,W,102,76,39,84,0.464,6,12,0.5,18,27,0.667,22,53,27,8,3,11,17,,28,70,0.4,7,20,0.35,13,20,0.65,7,30,14,5,3,12,26
53,53,2/22/96,@,ATL,W,96,91,38,79,0.481,7,16,0.438,13,16,0.813,15,45,23,5,7,12,15,,39,90,0.433,6,23,0.261,7,12,0.583,17,41,18,9,1,11,20
54,54,2/23/96,@,MIA,L,104,113,36,86,0.419,5,18,0.278,27,31,0.871,13,44,20,7,0,14,28,,40,82,0.488,15,23,0.652,18,28,0.643,8,40,22,4,3,13,26
55,55,2/25/96,,ORL,W,111,91,40,90,0.444,13,27,0.481,18,22,0.818,15,45,27,7,4,8,17,,37,77,0.481,4,14,0.286,13,24,0.542,6,35,21,4,4,12,23
56,56,2/27/96,,MIN,W,120,99,43,92,0.467,7,20,0.35,27,30,0.9,17,47,28,10,3,11,14,,40,83,0.482,4,12,0.333,15,20,0.75,12,39,24,8,2,17,24
57,57,3/1/96,,GSW,W,110,87,46,89,0.517,11,20,0.55,7,10,0.7,14,45,25,14,4,23,20,,29,87,0.333,7,16,0.438,22,27,0.815,21,48,15,14,9,21,11
58,58,3/2/96,,BOS,W,107,75,42,84,0.5,4,16,0.25,19,25,0.76,15,53,32,13,8,16,14,,34,85,0.4,2,12,0.167,5,10,0.5,13,38,18,9,1,18,19
59,59,3/5/96,,MIL,W,115,106,41,74,0.554,10,15,0.667,23,34,0.676,15,39,33,12,9,22,20,,42,82,0.512,6,15,0.4,16,21,0.762,12,31,24,11,1,17,26
60,60,3/7/96,,DET,W,102,81,41,91,0.451,5,24,0.208,15,23,0.652,16,46,25,12,4,9,20,,29,73,0.397,11,24,0.458,12,14,0.857,11,41,16,2,0,22,26
61,61,3/10/96,@,NYK,L,72,104,28,76,0.368,5,13,0.385,11,13,0.846,13,40,17,6,3,20,19,,43,80,0.538,10,21,0.476,8,8,1,7,39,27,8,3,11,19
62,62,3/13/96,,WSB,W,103,86,40,83,0.482,3,11,0.273,20,27,0.741,13,41,18,12,5,15,19,,34,77,0.442,4,10,0.4,14,18,0.778,9,32,17,7,5,20,25
63,63,3/15/96,,DEN,W,108,87,47,90,0.522,7,16,0.438,7,8,0.875,15,40,30,11,5,11,17,,39,77,0.506,4,9,0.444,5,10,0.5,11,35,25,5,4,18,12
64,64,3/16/96,@,NJN,W,97,93,37,89,0.416,7,19,0.368,16,19,0.842,15,47,20,5,9,8,25,,32,84,0.381,2,5,0.4,27,37,0.73,22,58,21,3,10,13,24
65,65,3/18/96,@,PHI,W,98,94,38,86,0.442,5,18,0.278,17,25,0.68,10,43,26,8,3,6,27,,29,75,0.387,6,22,0.273,30,37,0.811,14,45,17,4,5,12,21
66,66,3/19/96,,SAC,W,89,67,28,67,0.418,3,15,0.2,30,37,0.811,7,40,20,11,6,14,24,,23,82,0.28,3,14,0.214,18,24,0.75,23,51,13,6,5,22,29
67,67,3/21/96,,NYK,W,107,86,38,74,0.514,4,15,0.267,27,35,0.771,12,57,22,5,6,15,27,,30,85,0.353,6,20,0.3,20,29,0.69,9,33,21,9,1,9,25
68,68,3/24/96,@,TOR,L,108,109,43,86,0.5,6,18,0.333,16,23,0.696,16,42,24,6,7,12,15,,42,90,0.467,11,17,0.647,14,22,0.636,20,45,27,9,6,10,17
69,69,3/28/96,,ATL,W,111,80,45,83,0.542,8,16,0.5,13,20,0.65,12,43,32,9,7,14,28,,24,74,0.324,2,14,0.143,30,39,0.769,17,42,9,6,3,20,18
70,70,3/30/96,,LAC,W,106,85,36,80,0.45,6,14,0.429,28,35,0.8,19,46,19,10,3,14,15,,37,86,0.43,5,16,0.313,6,8,0.75,16,43,19,9,3,20,26
71,71,4/2/96,@,MIA,W,110,92,38,81,0.469,8,18,0.444,26,38,0.684,14,45,23,12,5,12,25,,36,80,0.45,4,23,0.174,16,26,0.615,11,41,15,8,7,14,24
72,72,4/4/96,,MIA,W,100,92,34,81,0.42,4,18,0.222,28,34,0.824,15,41,22,12,5,14,28,,35,75,0.467,6,25,0.24,16,22,0.727,13,43,18,9,1,24,29
73,73,4/5/96,@,CHH,W,126,92,47,86,0.547,13,20,0.65,19,24,0.792,14,47,38,8,2,17,23,,33,78,0.423,3,16,0.188,23,30,0.767,8,29,21,13,3,19,25
74,74,4/7/96,@,ORL,W,90,86,32,79,0.405,8,20,0.4,18,21,0.857,10,36,17,9,5,10,20,,35,75,0.467,4,15,0.267,12,14,0.857,8,42,21,5,7,13,22
75,75,4/8/96,,CHH,L,97,98,37,87,0.425,6,18,0.333,17,28,0.607,23,50,21,8,2,8,24,,31,69,0.449,8,17,0.471,28,35,0.8,9,31,16,2,1,12,25
76,76,4/11/96,@,NJN,W,113,100,42,89,0.472,6,18,0.333,23,35,0.657,26,52,23,8,4,17,18,,43,77,0.558,4,10,0.4,10,18,0.556,13,31,16,8,3,18,30
77,77,4/12/96,,PHI,W,112,82,45,83,0.542,9,25,0.36,13,14,0.929,14,38,28,11,5,12,22,,32,71,0.451,2,17,0.118,16,23,0.696,12,31,17,5,1,15,14
78,78,4/14/96,@,CLE,W,98,72,34,70,0.486,11,20,0.55,19,24,0.792,12,42,26,13,2,10,14,,30,75,0.4,6,16,0.375,6,10,0.6,11,33,20,7,3,16,15
79,79,4/16/96,@,MIL,W,86,80,33,85,0.388,4,18,0.222,16,23,0.696,18,52,21,4,3,13,16,,34,81,0.42,3,16,0.188,9,15,0.6,10,42,14,7,1,9,22
80,80,4/18/96,,DET,W,110,79,43,87,0.494,11,23,0.478,13,17,0.765,13,53,28,12,3,18,19,,33,83,0.398,3,10,0.3,10,20,0.5,11,36,12,12,2,17,21
81,81,4/20/96,,IND,L,99,100,40,90,0.444,11,25,0.44,8,13,0.615,22,48,27,10,6,19,31,,37,74,0.5,0,2,0,26,41,0.634,11,39,15,14,3,17,16
82,82,4/21/96,@,WSB,W,103,93,41,89,0.461,4,13,0.308,17,23,0.739,12,46,17,7,4,9,24,,36,85,0.424,4,13,0.308,17,23,0.739,13,43,19,4,9,14,20